order_item_id,order_id,item_name,quantity,price
1,1000,Kind Dish,1,266
2,1001,Past Dish,2,99
3,1002,Necessary Dish,2,90
4,1003,Worry Dish,1,198
5,1003,Every Dish,1,169
6,1003,Democratic Dish,1,244
7,1004,Edge Dish,2,399
8,1004,Evidence Dish,3,86
9,1004,Individual Dish,3,375
10,1005,Remain Dish,3,335
11,1005,Quite Dish,1,400
12,1005,First Dish,2,78
13,1006,Four Dish,3,211
14,1006,Woman Dish,1,385
15,1006,Society Dish,2,252
16,1007,Act Dish,3,349
17,1007,Low Dish,2,348
18,1009,Black Dish,3,131
19,1010,Note Dish,2,333
20,1010,Different Dish,1,398
21,1010,Move Dish,3,108
22,1011,Cause Dish,1,184
23,1011,Worker Dish,3,141
24,1012,Upon Dish,1,241
25,1013,Until Dish,2,207
26,1015,Feel Dish,1,387
27,1016,Left Dish,3,152
28,1017,Of Dish,1,165
29,1018,Population Dish,1,86
30,1020,Newspaper Dish,1,342
31,1020,Across Dish,3,292
32,1020,Region Dish,1,292
33,1021,Once Dish,2,289
34,1021,Firm Dish,3,77
35,1022,Body Dish,1,324
36,1023,Everything Dish,2,331
37,1025,Situation Dish,1,244
38,1027,Expert Dish,2,129
39,1027,Father Dish,1,201
40,1027,Point Dish,1,79
41,1028,Series Dish,2,307
42,1028,Gun Dish,3,130
43,1028,Democrat Dish,1,310
44,1029,Protect Dish,3,176
45,1030,Mouth Dish,3,317
46,1030,Middle Dish,2,183
47,1030,Enter Dish,1,392
48,1031,Best Dish,1,54
49,1031,Protect Dish,2,368
50,1032,Themselves Dish,2,85
51,1033,Another Dish,3,384
52,1033,About Dish,3,54
53,1036,Color Dish,1,374
54,1036,Site Dish,2,308
55,1037,Ok Dish,1,220
56,1038,Late Dish,3,54
57,1038,Option Dish,1,88
58,1039,Brother Dish,2,115
59,1041,Well Dish,2,367
60,1041,Church Dish,3,129
61,1041,Offer Dish,1,133
62,1042,They Dish,3,177
63,1042,Hope Dish,2,131
64,1042,Pass Dish,3,105
65,1043,Choose Dish,1,164
66,1043,Law Dish,1,387
67,1044,Analysis Dish,2,378
68,1044,Foot Dish,3,254
69,1045,Way Dish,2,69
70,1045,Worker Dish,1,355
71,1045,Style Dish,2,226
72,1046,Way Dish,1,273
73,1046,Help Dish,1,316
74,1047,Rest Dish,3,113
75,1047,Enjoy Dish,3,203
76,1048,Board Dish,1,265
77,1049,State Dish,1,270
78,1049,Opportunity Dish,3,360
79,1050,Pressure Dish,3,136
80,1050,So Dish,3,93
81,1051,Wish Dish,1,151
82,1051,Wonder Dish,1,62
83,1052,Treatment Dish,3,344
84,1052,Commercial Dish,1,246
85,1053,Talk Dish,2,162
86,1054,Upon Dish,1,287
87,1054,Itself Dish,3,321
88,1056,Since Dish,3,293
89,1057,Stay Dish,2,370
90,1057,Word Dish,1,190
91,1057,Its Dish,2,89
92,1058,Relationship Dish,1,168
93,1059,Talk Dish,2,262
94,1059,Energy Dish,1,155
95,1059,Example Dish,2,249
96,1060,Store Dish,2,325
97,1060,Science Dish,3,329
98,1061,Idea Dish,2,222
99,1064,Doctor Dish,1,75
100,1064,Decision Dish,2,244
101,1065,Hard Dish,2,91
102,1065,Focus Dish,2,59
103,1066,Dog Dish,1,65
104,1066,Agent Dish,1,152
105,1066,Receive Dish,1,368
106,1067,Inside Dish,2,181
107,1068,Family Dish,3,63
108,1069,Available Dish,3,371
109,1069,Spring Dish,1,102
110,1069,Family Dish,3,204
111,1070,Put Dish,1,309
112,1070,Mr Dish,3,224
113,1071,Respond Dish,3,128
114,1071,Threat Dish,2,140
115,1072,Glass Dish,1,94
116,1072,Wrong Dish,2,280
117,1073,Business Dish,2,158
118,1074,Could Dish,3,55
119,1074,Partner Dish,3,147
120,1075,American Dish,3,301
121,1075,Boy Dish,2,58
122,1076,Leader Dish,3,238
123,1076,Hair Dish,2,333
124,1076,Shoulder Dish,3,226
125,1077,Former Dish,2,168
126,1077,Least Dish,1,148
127,1078,Much Dish,3,318
128,1078,Business Dish,3,194
129,1078,Image Dish,1,149
130,1079,Part Dish,1,190
131,1079,Customer Dish,1,77
132,1079,Environmental Dish,3,199
133,1081,Least Dish,2,294
134,1082,Nature Dish,1,127
135,1082,Wish Dish,1,338
136,1082,Sure Dish,2,93
137,1083,Right Dish,2,280
138,1083,Serve Dish,2,202
139,1083,Yard Dish,3,269
140,1084,Since Dish,3,158
141,1085,Himself Dish,1,259
142,1086,Available Dish,2,282
143,1086,Red Dish,1,169
144,1086,Wife Dish,2,370
145,1087,Price Dish,2,122
146,1088,Record Dish,2,274
147,1088,Thus Dish,1,289
148,1088,Capital Dish,3,205
149,1089,We Dish,3,215
150,1089,First Dish,3,178
151,1092,Issue Dish,3,276
152,1092,General Dish,2,142
153,1092,Interesting Dish,3,273
154,1093,Find Dish,1,132
155,1093,Once Dish,2,260
156,1093,Care Dish,3,303
157,1094,Kitchen Dish,1,256
158,1094,Red Dish,3,50
159,1095,Research Dish,2,370
160,1095,Smile Dish,2,76
161,1095,Weight Dish,1,186
162,1096,Power Dish,3,361
163,1097,Fish Dish,1,108
164,1098,Official Dish,2,262
165,1098,These Dish,2,291
166,1098,A Dish,1,283
167,1099,Few Dish,1,85
168,1099,Develop Dish,2,262
169,1099,Law Dish,2,309
